,time,open,high,low,close,real_volume
0,2018-09-28,7.77,8.07,7.73,7.76,94411500
1,2018-10-01,7.8100000000000005,7.86,7.65,7.72,56189700
2,2018-10-02,8.09,8.39,8.05,8.39,126848000
3,2018-10-03,9.29,9.35,8.63,8.75,151327500
4,2018-10-04,8.62,9.02,8.54,8.83,98887200
5,2018-10-05,9.01,9.04,8.7,8.81,104276400
6,2018-10-08,9.91,9.92,9.47,9.78,187492600
7,2018-10-09,9.74,9.93,9.66,9.86,89555800
8,2018-10-10,9.68,9.7,9.43,9.58,82173400
9,2018-10-11,9.76,9.84,9.22,9.3,118801600
10,2018-10-15,9.52,9.61,9.4,9.48,92071300
11,2018-10-16,9.64,9.83,9.59,9.83,73579600
12,2018-10-17,9.72,9.79,9.66,9.73,80820500
13,2018-10-18,9.67,9.69,9.45,9.45,55966900
14,2018-10-19,9.62,9.67,9.46,9.53,61676900
15,2018-10-22,9.66,9.78,9.66,9.76,63337600
16,2018-10-23,9.62,9.74,9.49,9.64,77137100
17,2018-10-24,9.71,9.93,9.44,9.44,92815200
18,2018-10-25,9.63,9.8,9.45,9.68,79214600
19,2018-10-26,9.8,10.15,9.61,10.15,108577900
20,2018-10-29,10.57,10.57,9.55,9.72,160275800
21,2018-10-30,9.82,10.3,9.72,10.3,106681300
22,2018-10-31,10.39,10.42,10.04,10.16,83768200
23,2018-11-01,10.21,10.3,9.97,10.05,100395400
24,2018-11-05,10.11,10.36,10.08,10.36,60389900
25,2018-11-06,10.04,10.41,9.93,10.0,95344400
26,2018-11-07,10.15,10.17,9.66,9.67,95817000
27,2018-11-08,9.86,9.94,9.32,9.32,119095000
28,2018-11-09,9.27,9.46,9.08,9.36,94206400
29,2018-11-12,9.39,9.53,9.3,9.32,63162600
30,2018-11-13,9.31,9.31,8.81,8.91,112776300
31,2018-11-14,8.91,9.26,8.79,9.23,104423900
32,2018-11-16,9.34,9.58,9.26,9.49,100628800
33,2018-11-19,9.4,9.67,9.35,9.56,80823900
34,2018-11-21,9.23,9.37,9.2,9.26,77228100
35,2018-11-22,9.33,9.36,9.25,9.28,31253600
36,2018-11-23,9.1,9.15,8.86,8.99,77961200
37,2018-11-26,9.15,9.22,8.87,8.95,62111600
38,2018-11-27,8.99,9.48,8.96,9.42,90759000
39,2018-11-28,9.41,9.55,9.24,9.37,92811300
40,2018-11-29,9.21,9.41,9.18,9.29,65584300
41,2018-11-30,9.27,9.43,9.25,9.39,92017500
42,2018-12-03,9.7,9.79,9.52,9.57,92530000
43,2018-12-04,9.69,9.72,9.35,9.35,66867500
44,2018-12-05,9.4,9.49,9.21,9.43,54183300
45,2018-12-06,9.22,9.27,8.97,9.07,99037200
46,2018-12-07,9.05,9.4,9.02,9.14,87994700
