,Kernel,Nu,Gamma,Degree,Fmeasure
0,poly,0.1,0.5,1,0.46422628951747086
1,poly,0.1,0.5,2,0.4925124792013311
2,poly,0.1,0.5,3,0.5124792013311148
3,poly,0.1,0.5,4,0.5291181364392679
4,poly,0.1,0.5,5,0.5357737104825291
5,poly,0.1,1.0,1,0.5274542429284526
6,poly,0.1,1.0,2,0.5440931780366056
7,poly,0.1,1.0,3,0.5291181364392679
8,poly,0.1,1.0,4,0.5074875207986689
9,poly,0.1,1.0,5,0.46089850249584025
10,poly,0.1,1.5,1,0.46422628951747086
11,poly,0.1,1.5,2,0.5207986688851913
12,poly,0.1,1.5,3,0.5307820299500832
13,poly,0.1,1.5,4,0.49750415973377704
14,poly,0.1,1.5,5,0.46422628951747086
15,poly,0.1,2.0,1,0.480865224625624
16,poly,0.1,2.0,2,0.5241264559068219
17,poly,0.1,2.0,3,0.5374376039933444
18,poly,0.1,2.0,4,0.4891846921797005
19,poly,0.1,2.0,5,0.5241264559068219
20,poly,0.1,2.5,1,0.4509151414309484
21,poly,0.1,2.5,2,0.519134775374376
22,poly,0.1,2.5,3,0.5391014975041597
23,poly,0.1,2.5,4,0.5041597337770383
24,poly,0.1,2.5,5,0.49584026622296173
25,poly,0.1,3.0,1,0.46422628951747086
26,poly,0.1,3.0,2,0.5224625623960066
27,poly,0.1,3.0,3,0.49916805324459235
28,poly,0.1,3.0,4,0.49750415973377704
29,poly,0.1,3.0,5,0.49916805324459235
30,poly,0.1,3.5,1,0.45923460898502494
31,poly,0.1,3.5,2,0.5307820299500832
32,poly,0.1,3.5,3,0.4925124792013311
33,poly,0.1,3.5,4,0.5174708818635607
34,poly,0.1,3.5,5,0.502495840266223
35,poly,0.1,4.0,1,0.46589018302828616
36,poly,0.1,4.0,2,0.5274542429284526
37,poly,0.1,4.0,3,0.4925124792013311
38,poly,0.1,4.0,4,0.5274542429284526
39,poly,0.1,4.0,5,0.5274542429284526
40,poly,0.1,4.5,1,0.480865224625624
41,poly,0.1,4.5,2,0.5291181364392679
42,poly,0.1,4.5,3,0.47753743760399336
43,poly,0.1,4.5,4,0.519134775374376
44,poly,0.1,4.5,5,0.47587354409317806
45,poly,0.1,5.0,1,0.45757071547420963
46,poly,0.1,5.0,2,0.5224625623960066
47,poly,0.1,5.0,3,0.5158069883527454
48,poly,0.1,5.0,4,0.5008319467554077
49,poly,0.1,5.0,5,0.5058236272878536
50,poly,0.1,10.0,1,0.46921797004991683
51,poly,0.1,10.0,2,0.5141430948419301
52,poly,0.1,10.0,3,0.5074875207986689
53,poly,0.1,10.0,4,0.49916805324459235
54,poly,0.1,10.0,5,0.5058236272878536
55,poly,0.25,0.5,1,0.46422628951747086
56,poly,0.25,0.5,2,0.5174708818635607
57,poly,0.25,0.5,3,0.4841930116472546
58,poly,0.25,0.5,4,0.46755407653910147
59,poly,0.25,0.5,5,0.46921797004991683
60,poly,0.25,1.0,1,0.46755407653910147
61,poly,0.25,1.0,2,0.502495840266223
62,poly,0.25,1.0,3,0.49584026622296173
63,poly,0.25,1.0,4,0.5074875207986689
64,poly,0.25,1.0,5,0.480865224625624
65,poly,0.25,1.5,1,0.47420965058236275
66,poly,0.25,1.5,2,0.5074875207986689
67,poly,0.25,1.5,3,0.47420965058236275
68,poly,0.25,1.5,4,0.4925124792013311
69,poly,0.25,1.5,5,0.46589018302828616
70,poly,0.25,2.0,1,0.4875207986688852
71,poly,0.25,2.0,2,0.5074875207986689
72,poly,0.25,2.0,3,0.4925124792013311
73,poly,0.25,2.0,4,0.5174708818635607
74,poly,0.25,2.0,5,0.47920133111480867
75,poly,0.25,2.5,1,0.4908485856905158
76,poly,0.25,2.5,2,0.5041597337770383
77,poly,0.25,2.5,3,0.4875207986688852
78,poly,0.25,2.5,4,0.519134775374376
79,poly,0.25,2.5,5,0.5091514143094842
80,poly,0.25,3.0,1,0.47587354409317806
81,poly,0.25,3.0,2,0.502495840266223
82,poly,0.25,3.0,3,0.502495840266223
83,poly,0.25,3.0,4,0.502495840266223
84,poly,0.25,3.0,5,0.5291181364392679
85,poly,0.25,3.5,1,0.47587354409317806
86,poly,0.25,3.5,2,0.4858569051580699
87,poly,0.25,3.5,3,0.5241264559068219
88,poly,0.25,3.5,4,0.5307820299500832
89,poly,0.25,3.5,5,0.4891846921797005
90,poly,0.25,4.0,1,0.46089850249584025
91,poly,0.25,4.0,2,0.49584026622296173
92,poly,0.25,4.0,3,0.5291181364392679
93,poly,0.25,4.0,4,0.5307820299500832
94,poly,0.25,4.0,5,0.4875207986688852
95,poly,0.25,4.5,1,0.47254575707154745
96,poly,0.25,4.5,2,0.5041597337770383
97,poly,0.25,4.5,3,0.5108153078202995
98,poly,0.25,4.5,4,0.5374376039933444
99,poly,0.25,4.5,5,0.5074875207986689
100,poly,0.25,5.0,1,0.46755407653910147
101,poly,0.25,5.0,2,0.4825291181364393
102,poly,0.25,5.0,3,0.49750415973377704
103,poly,0.25,5.0,4,0.5241264559068219
104,poly,0.25,5.0,5,0.5274542429284526
105,poly,0.25,10.0,1,0.540765391014975
106,poly,0.25,10.0,2,0.47420965058236275
107,poly,0.25,10.0,3,0.5241264559068219
108,poly,0.25,10.0,4,0.5391014975041597
109,poly,0.25,10.0,5,0.5241264559068219
110,poly,0.5,0.5,1,0.46089850249584025
111,poly,0.5,0.5,2,0.5207986688851913
112,poly,0.5,0.5,3,0.5391014975041597
113,poly,0.5,0.5,4,0.5074875207986689
114,poly,0.5,0.5,5,0.4875207986688852
115,poly,0.5,1.0,1,0.46089850249584025
116,poly,0.5,1.0,2,0.45757071547420963
117,poly,0.5,1.0,3,0.5141430948419301
118,poly,0.5,1.0,4,0.46921797004991683
119,poly,0.5,1.0,5,0.5041597337770383
120,poly,0.5,1.5,1,0.5257903494176372
121,poly,0.5,1.5,2,0.5524126455906821
122,poly,0.5,1.5,3,0.5008319467554077
123,poly,0.5,1.5,4,0.45757071547420963
124,poly,0.5,1.5,5,0.47920133111480867
125,poly,0.5,2.0,1,0.47420965058236275
126,poly,0.5,2.0,2,0.45757071547420963
127,poly,0.5,2.0,3,0.49417637271214643
128,poly,0.5,2.0,4,0.4841930116472546
129,poly,0.5,2.0,5,0.4875207986688852
130,poly,0.5,2.5,1,0.47920133111480867
131,poly,0.5,2.5,2,0.5424292845257903
132,poly,0.5,2.5,3,0.5124792013311148
133,poly,0.5,2.5,4,0.4925124792013311
134,poly,0.5,2.5,5,0.4891846921797005
135,poly,0.5,3.0,1,0.45923460898502494
