,Solucao,ActFun,NumHiden,C,Fmeasure
0,no_re,sigmoid,10,0.1,0.5374376039933444
1,no_re,sigmoid,10,0.2,0.4858569051580699
2,no_re,sigmoid,10,0.3,0.480865224625624
3,no_re,sigmoid,10,0.4,0.5690515806988353
4,no_re,sigmoid,10,0.5,0.540765391014975
5,no_re,sigmoid,10,0.6,0.5158069883527454
6,no_re,sigmoid,10,0.7,0.5574043261231281
7,no_re,sigmoid,10,0.8,0.49584026622296173
8,no_re,sigmoid,10,0.9,0.5091514143094842
9,no_re,sigmoid,20,0.1,0.49750415973377704
10,no_re,sigmoid,20,0.2,0.5058236272878536
11,no_re,sigmoid,20,0.3,0.5008319467554077
12,no_re,sigmoid,20,0.4,0.4891846921797005
13,no_re,sigmoid,20,0.5,0.4825291181364393
14,no_re,sigmoid,20,0.6,0.5058236272878536
15,no_re,sigmoid,20,0.7,0.5474209650582362
16,no_re,sigmoid,20,0.8,0.5424292845257903
17,no_re,sigmoid,20,0.9,0.5074875207986689
18,no_re,sigmoid,30,0.1,0.5124792013311148
19,no_re,sigmoid,30,0.2,0.5257903494176372
20,no_re,sigmoid,30,0.3,0.5391014975041597
21,no_re,sigmoid,30,0.4,0.5174708818635607
22,no_re,sigmoid,30,0.5,0.5041597337770383
23,no_re,sigmoid,30,0.6,0.49584026622296173
24,no_re,sigmoid,30,0.7,0.5507487520798668
25,no_re,sigmoid,30,0.8,0.4858569051580699
26,no_re,sigmoid,30,0.9,0.5058236272878536
27,no_re,sigmoid,40,0.1,0.5457570715474209
28,no_re,sigmoid,40,0.2,0.5008319467554077
29,no_re,sigmoid,40,0.3,0.5440931780366056
30,no_re,sigmoid,40,0.4,0.5274542429284526
31,no_re,sigmoid,40,0.5,0.5207986688851913
32,no_re,sigmoid,40,0.6,0.5457570715474209
33,no_re,sigmoid,40,0.7,0.5091514143094842
34,no_re,sigmoid,40,0.8,0.540765391014975
35,no_re,sigmoid,40,0.9,0.5374376039933444
36,no_re,sigmoid,50,0.1,0.49584026622296173
37,no_re,sigmoid,50,0.2,0.49916805324459235
38,no_re,sigmoid,50,0.3,0.5091514143094842
39,no_re,sigmoid,50,0.4,0.480865224625624
40,no_re,sigmoid,50,0.5,0.5590682196339434
41,no_re,sigmoid,50,0.6,0.5291181364392679
42,no_re,sigmoid,50,0.7,0.5008319467554077
